local_entity_key,geo_entity_id,property_key,geo_property_id,value_type,value,source_file,json_pointer
initiative:adaptive-and-personalized-learning-platforms,,category,,TEXT,Technology,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,evaluation_designs,,TEXT,RCTs; matched comparison; usage-log studies,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,finding,,TEXT,Effects range from positive to null; platforms work best as part of coherent instruction rather than stand-alone screen time.,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,inputs_changed,,TEXT,"Adaptive software minutes, mastery thresholds, item banks, teacher dashboard use, grouping",content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,local_key,,TEXT,initiative:adaptive-and-personalized-learning-platforms,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,name,,TEXT,Adaptive and personalized learning platforms,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,normalization_issues,,TEXT,Usage minutes are endogenous; compare teacher-mediated integration and curricular alignment.,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,outputs_measured,,TEXT,"Test scores, platform mastery, minutes, completion",content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,slug,,TEXT,adaptive-and-personalized-learning-platforms,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,tags,,TEXT,adaptive learning; blended learning,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,target_population,,TEXT,Math/reading students in blended classrooms,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,theory_of_action,,TEXT,Algorithms and dashboards tailor practice and feedback to each student's level.,content/initiatives.json,
initiative:adaptive-and-personalized-learning-platforms,,years_scale,,TEXT,2010s onward; software adoption,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,category,,TEXT,Postsecondary/CTE,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,evaluation_designs,,TEXT,Interrupted time series; cohort comparisons,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,finding,,TEXT,The Chicago case reduced course-taking inequities but increased failures and did not clearly improve achievement or college outcomes.,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,inputs_changed,,TEXT,"Required Algebra I, elimination of remedial tracks, course placement rules, curriculum requirements",content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,local_key,,TEXT,initiative:algebra-for-all-college-preparatory-curriculum-for-all,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,name,,TEXT,Algebra for All / college-preparatory curriculum for all,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,normalization_issues,,TEXT,Access metrics can improve while learning falls if supports are insufficient; compare course standards and failure rates.,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,outputs_measured,,TEXT,"Course taking, grades, failures, test scores, college outcomes",content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,slug,,TEXT,algebra-for-all-college-preparatory-curriculum-for-all,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,tags,,TEXT,detracking; algebra; rigor,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,target_population,,TEXT,Ninth-grade students,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,theory_of_action,,TEXT,Ending remedial tracks and requiring college-prep coursework increases rigor and access.,content/initiatives.json,
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,years_scale,,TEXT,1990s-2000s; Chicago and elsewhere,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,category,,TEXT,Whole-child/climate,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,evaluation_designs,,TEXT,RCTs of messaging; quasi district studies; early warning validation,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,finding,,TEXT,"Attendance is a crucial mediator after COVID, but interventions vary from low-cost nudges to intensive case management.",content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,inputs_changed,,TEXT,"Parent messaging, attendance teams, transportation, case management, early warning systems",content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,local_key,,TEXT,initiative:attendance-and-chronic-absenteeism-interventions,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,name,,TEXT,Attendance and chronic absenteeism interventions,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,normalization_issues,,TEXT,Define chronic absenteeism consistently; compare pre-pandemic and post-pandemic baselines carefully.,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,outputs_measured,,TEXT,"Attendance, chronic absenteeism, course passing, achievement",content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,slug,,TEXT,attendance-and-chronic-absenteeism-interventions,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,tags,,TEXT,attendance; absenteeism,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,target_population,,TEXT,Chronically absent or at-risk students,content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,theory_of_action,,TEXT,"Improve learning by increasing presence and engagement through information, nudges, case management, and supports.",content/initiatives.json,
initiative:attendance-and-chronic-absenteeism-interventions,,years_scale,,TEXT,2010s onward; especially post-pandemic,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,category,,TEXT,Postsecondary/CTE,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,evaluation_designs,,TEXT,Quasi/descriptive studies; implementation reports,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,finding,,TEXT,"Widely used and plausible, but causal evidence is less clean than for early college lotteries.",content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,inputs_changed,,TEXT,"Elective course, tutoring, note-taking, college visits, teacher teams, cohort support",content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,local_key,,TEXT,initiative:avid-and-college-readiness-support-models,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,name,,TEXT,AVID and college-readiness support models,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,normalization_issues,,TEXT,Selection into AVID and school implementation are hard to separate from program effects.,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,outputs_measured,,TEXT,"Course taking, GPA, graduation, college enrollment",content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,slug,,TEXT,avid-and-college-readiness-support-models,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,tags,,TEXT,college readiness; AVID,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,target_population,,TEXT,Middle and high school students,content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,theory_of_action,,TEXT,"Teach academic habits, tutoring, relational support, and college knowledge to students near the academic middle.",content/initiatives.json,
initiative:avid-and-college-readiness-support-models,,years_scale,,TEXT,1980s onward; national,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,category,,TEXT,Literacy,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,evaluation_designs,,TEXT,Implementation studies; curriculum comparisons; descriptive district trend evidence,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,finding,,TEXT,"Popular and influential, but evidence concerns about weak systematic decoding instruction drove many recent curriculum changes.",content/initiatives.json,
initiative:balanced-literacy-workshop-models,,inputs_changed,,TEXT,"Leveled readers, independent reading, cueing, writing workshop, classroom libraries",content/initiatives.json,
initiative:balanced-literacy-workshop-models,,local_key,,TEXT,initiative:balanced-literacy-workshop-models,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,name,,TEXT,Balanced literacy / workshop models,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,normalization_issues,,TEXT,The label covers diverse practice; some classrooms included phonics while others underemphasized decoding.,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,outputs_measured,,TEXT,"Reading comprehension, decoding, motivation, state reading scores",content/initiatives.json,
initiative:balanced-literacy-workshop-models,,slug,,TEXT,balanced-literacy-workshop-models,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,tags,,TEXT,balanced literacy; workshop,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,target_population,,TEXT,Elementary literacy classrooms,content/initiatives.json,
initiative:balanced-literacy-workshop-models,,theory_of_action,,TEXT,"Build authentic reading/writing habits through leveled texts, mini-lessons, choice, and teacher conferences.",content/initiatives.json,
initiative:balanced-literacy-workshop-models,,years_scale,,TEXT,1990s-2020s; district curricula,content/initiatives.json,
initiative:boston-universal-pre-k,,category,,TEXT,Early childhood,content/initiatives.json,
initiative:boston-universal-pre-k,,evaluation_designs,,TEXT,Admissions lottery; long-term administrative follow-up,content/initiatives.json,
initiative:boston-universal-pre-k,,evidence_strength_key,,TEXT,strong-causal,content/initiatives.json,
initiative:boston-universal-pre-k,,finding,,TEXT,Shows that test-score fadeout can coexist with meaningful long-run gains in college and discipline outcomes.,content/initiatives.json,
initiative:boston-universal-pre-k,,inputs_changed,,TEXT,"Public pre-K access, teacher quality, curriculum, centralized enrollment, classroom quality",content/initiatives.json,
initiative:boston-universal-pre-k,,local_key,,TEXT,initiative:boston-universal-pre-k,content/initiatives.json,
initiative:boston-universal-pre-k,,name,,TEXT,Boston universal pre-K,content/initiatives.json,
initiative:boston-universal-pre-k,,normalization_issues,,TEXT,Lottery applicants and Boston implementation may not generalize; long-term non-test outcomes are essential.,content/initiatives.json,
initiative:boston-universal-pre-k,,outputs_measured,,TEXT,"SAT-taking, college enrollment, graduation, discipline, state test scores",content/initiatives.json,
initiative:boston-universal-pre-k,,slug,,TEXT,boston-universal-pre-k,content/initiatives.json,
initiative:boston-universal-pre-k,,tags,,TEXT,pre-K; lottery; long-run,content/initiatives.json,
initiative:boston-universal-pre-k,,target_population,,TEXT,Boston 4-year-olds,content/initiatives.json,
initiative:boston-universal-pre-k,,theory_of_action,,TEXT,High-quality public pre-K can improve long-run attainment and behavior even when test effects fade.,content/initiatives.json,
initiative:boston-universal-pre-k,,years_scale,,TEXT,1997 onward cohorts; lottery evaluation,content/initiatives.json,
initiative:career-academies,,category,,TEXT,Postsecondary/CTE,content/initiatives.json,
initiative:career-academies,,evaluation_designs,,TEXT,Random assignment longitudinal evaluation,content/initiatives.json,
initiative:career-academies,,evidence_strength_key,,TEXT,strong-causal,content/initiatives.json,
initiative:career-academies,,finding,,TEXT,"One of the strongest CTE-related causal studies, with notable long-run earnings effects especially for young men.",content/initiatives.json,
initiative:career-academies,,inputs_changed,,TEXT,"Career theme, academic/technical integration, employer partnerships, work-based learning, cohorts",content/initiatives.json,
initiative:career-academies,,local_key,,TEXT,initiative:career-academies,content/initiatives.json,
initiative:career-academies,,name,,TEXT,Career Academies,content/initiatives.json,
initiative:career-academies,,normalization_issues,,TEXT,Random assignment applies to schools able to implement core features; adult labor outcomes matter more than test scores alone.,content/initiatives.json,
initiative:career-academies,,outputs_measured,,TEXT,"Earnings, employment, postsecondary, credits, graduation",content/initiatives.json,
initiative:career-academies,,slug,,TEXT,career-academies,content/initiatives.json,
initiative:career-academies,,tags,,TEXT,CTE; career academies,content/initiatives.json,
initiative:career-academies,,target_population,,TEXT,High school students,content/initiatives.json,
initiative:career-academies,,theory_of_action,,TEXT,"Small learning communities that integrate academics, career themes, and employer links improve transitions to adulthood.",content/initiatives.json,
initiative:career-academies,,years_scale,,TEXT,1990s onward evaluation; national model,content/initiatives.json,
initiative:charter-schools-overall,,category,,TEXT,Choice,content/initiatives.json,
initiative:charter-schools-overall,,evaluation_designs,,TEXT,Lottery studies; virtual matched controls; state panels,content/initiatives.json,
initiative:charter-schools-overall,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:charter-schools-overall,,finding,,TEXT,"Charter effects are highly heterogeneous: urban/no-excuses and some CMOs show strong gains, while many charters are neutral or weaker.",content/initiatives.json,
initiative:charter-schools-overall,,inputs_changed,,TEXT,"Autonomy, authorizer rules, school model, staffing, discipline, curriculum, CMO support",content/initiatives.json,
initiative:charter-schools-overall,,local_key,,TEXT,initiative:charter-schools-overall,content/initiatives.json,
initiative:charter-schools-overall,,name,,TEXT,Charter schools overall,content/initiatives.json,
initiative:charter-schools-overall,,normalization_issues,,TEXT,"Average charter effects hide major variation by state, authorizer, urbanicity, and school model; lottery samples are applicant populations.",content/initiatives.json,
initiative:charter-schools-overall,,outputs_measured,,TEXT,"State tests, NAEP-like growth, graduation, college enrollment",content/initiatives.json,
initiative:charter-schools-overall,,slug,,TEXT,charter-schools-overall,content/initiatives.json,
initiative:charter-schools-overall,,tags,,TEXT,charters; choice,content/initiatives.json,
initiative:charter-schools-overall,,target_population,,TEXT,Students choosing/applying to charter schools,content/initiatives.json,
initiative:charter-schools-overall,,theory_of_action,,TEXT,School autonomy plus family choice can create better school models and accountability through enrollment.,content/initiatives.json,
initiative:charter-schools-overall,,years_scale,,TEXT,1990s onward; state-authorized public schools,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,category,,TEXT,Standards/accountability,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,evaluation_designs,,TEXT,Implementation studies; teacher panels; state trend analysis; C-SAIL design,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,evidence_strength_key,,TEXT,mixed-conditional,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,finding,,TEXT,Implementation was uneven; evidence does not support the idea that standards alone generate large achievement gains.,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,inputs_changed,,TEXT,"ELA/math standards, test alignment, teacher guidance, curriculum shifts",content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,local_key,,TEXT,initiative:common-core-state-standards-and-aligned-assessments,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,name,,TEXT,Common Core State Standards and aligned assessments,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,normalization_issues,,TEXT,"Adoption timing overlaps with recession, NCLB waivers, RTT, assessment changes, and local curriculum decisions.",content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,outputs_measured,,TEXT,"NAEP, state tests, teacher knowledge/practice, assessment alignment",content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,slug,,TEXT,common-core-state-standards-and-aligned-assessments,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,tags,,TEXT,Common Core; standards,content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,target_population,,TEXT,"States, districts, grades K-12",content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,theory_of_action,,TEXT,"Common, higher standards and aligned tests should make expectations clearer and improve college readiness.",content/initiatives.json,
initiative:common-core-state-standards-and-aligned-assessments,,years_scale,,TEXT,2010s; multi-state,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,category,,TEXT,Whole-child/climate,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,evaluation_designs,,TEXT,Quasi-experimental impact study; implementation study,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,finding,,TEXT,"Evidence is promising for attendance and some academic outcomes, but the model is complex and slower-moving than a single curriculum change.",content/initiatives.json,
initiative:community-schools-nyc-community-schools,,inputs_changed,,TEXT,"On-site services, community school director, partnerships, family engagement, attendance supports",content/initiatives.json,
initiative:community-schools-nyc-community-schools,,local_key,,TEXT,initiative:community-schools-nyc-community-schools,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,name,,TEXT,Community schools / NYC Community Schools,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,normalization_issues,,TEXT,"Services, uptake, and neighborhood context vary; compare similar schools and track service dose.",content/initiatives.json,
initiative:community-schools-nyc-community-schools,,outputs_measured,,TEXT,"Attendance, chronic absenteeism, credits, achievement, graduation, school climate",content/initiatives.json,
initiative:community-schools-nyc-community-schools,,slug,,TEXT,community-schools-nyc-community-schools,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,tags,,TEXT,community schools; wraparound,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,target_population,,TEXT,High-need schools,content/initiatives.json,
initiative:community-schools-nyc-community-schools,,theory_of_action,,TEXT,"Integrated academics, health, counseling, family engagement, and community partnerships reduce barriers to learning.",content/initiatives.json,
initiative:community-schools-nyc-community-schools,,years_scale,,TEXT,2014 onward; district and national expansion,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,category,,TEXT,School organization/governance,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,evaluation_designs,,TEXT,Implementation studies; quasi evaluations; emerging evidence,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,evidence_strength_key,,TEXT,limited-descriptive,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,finding,,TEXT,Philosophically important but evidence remains heterogeneous and tied to local implementation.,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,inputs_changed,,TEXT,"Mastery thresholds, reassessment, flexible pacing, standards-based grading, credit rules",content/initiatives.json,
initiative:competency-based-mastery-based-learning,,local_key,,TEXT,initiative:competency-based-mastery-based-learning,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,name,,TEXT,Competency-based / mastery-based learning,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,normalization_issues,,TEXT,Grades and credits change meaning under mastery systems; researchers need common external outcomes.,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,outputs_measured,,TEXT,"Course completion, grades, test scores, student agency, graduation",content/initiatives.json,
initiative:competency-based-mastery-based-learning,,slug,,TEXT,competency-based-mastery-based-learning,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,tags,,TEXT,mastery; competency,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,target_population,,TEXT,K-12 schools and districts,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,theory_of_action,,TEXT,Students should progress after demonstrating mastery rather than after fixed seat time.,content/initiatives.json,
initiative:competency-based-mastery-based-learning,,years_scale,,TEXT,2010s onward; districts and states,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,category,,TEXT,Curriculum/pedagogy,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,evaluation_designs,,TEXT,Lottery/RCT in charter setting; quasi and implementation studies,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,finding,,TEXT,"Recent causal work finds promising long-term reading gains, supporting a content-rich view of comprehension.",content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,inputs_changed,,TEXT,"Sequenced content, literature/history/science knowledge, vocabulary, curriculum coherence",content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,local_key,,TEXT,initiative:core-knowledge-knowledge-rich-curriculum,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,name,,TEXT,Core Knowledge / knowledge-rich curriculum,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,normalization_issues,,TEXT,Effects may reflect school model plus curriculum; generalizing outside participating schools requires care.,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,outputs_measured,,TEXT,"Reading, math, science, state tests, vocabulary",content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,slug,,TEXT,core-knowledge-knowledge-rich-curriculum,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,tags,,TEXT,knowledge-rich; curriculum,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,target_population,,TEXT,Elementary students,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,theory_of_action,,TEXT,Reading comprehension and civic learning improve when students build systematic background knowledge across domains.,content/initiatives.json,
initiative:core-knowledge-knowledge-rich-curriculum,,years_scale,,TEXT,1990s onward; school and network adoption,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,category,,TEXT,Teacher workforce,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,evaluation_designs,,TEXT,Difference-in-differences; regression discontinuity around rating thresholds; administrative data,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,finding,,TEXT,"More consequential evaluation can change teacher performance and composition, but sustainability and trust are central concerns.",content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,inputs_changed,,TEXT,"Observation rubrics, value-added, ratings, bonuses, dismissals, professional development",content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,local_key,,TEXT,initiative:dc-impact-teacher-evaluation-with-consequences,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,name,,TEXT,DC IMPACT / teacher evaluation with consequences,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,normalization_issues,,TEXT,"Compare teachers near rating cutoffs; distinguish incentive, selection, and support mechanisms.",content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,outputs_measured,,TEXT,"Teacher performance, retention, student achievement",content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,slug,,TEXT,dc-impact-teacher-evaluation-with-consequences,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,tags,,TEXT,teacher evaluation; value-added,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,target_population,,TEXT,Teachers and principals in DCPS,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,theory_of_action,,TEXT,Combine multiple teacher performance measures with incentives and dismissal risk to improve workforce quality.,content/initiatives.json,
initiative:dc-impact-teacher-evaluation-with-consequences,,years_scale,,TEXT,2009 onward; district,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,category,,TEXT,Curriculum/pedagogy,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,evaluation_designs,,TEXT,Long-term follow-up; quasi-experimental and program evaluations,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,finding,,TEXT,A major counterexample to claims that highly explicit instruction is inherently low-level.,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,inputs_changed,,TEXT,"Scripted lessons, mastery tests, teacher pacing, explicit modeling, corrective feedback",content/initiatives.json,
initiative:direct-instruction-project-follow-through,,local_key,,TEXT,initiative:direct-instruction-project-follow-through,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,name,,TEXT,Direct Instruction / Project Follow Through,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,normalization_issues,,TEXT,Follow Through comparisons are historically important but not designed like modern multisite RCTs.,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,outputs_measured,,TEXT,"Standardized tests, dropout, college application",content/initiatives.json,
initiative:direct-instruction-project-follow-through,,slug,,TEXT,direct-instruction-project-follow-through,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,tags,,TEXT,direct instruction; explicit teaching,content/initiatives.json,
initiative:direct-instruction-project-follow-through,,target_population,,TEXT,"Elementary students, historically including high-poverty sites",content/initiatives.json,
initiative:direct-instruction-project-follow-through,,theory_of_action,,TEXT,"Use explicit, scripted, sequenced instruction with high practice and immediate feedback.",content/initiatives.json,
initiative:direct-instruction-project-follow-through,,years_scale,,TEXT,1968 onward; federal demonstration and programs,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,category,,TEXT,Postsecondary/CTE,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,evaluation_designs,,TEXT,Quasi studies; administrative evaluations; descriptive trend,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,evidence_strength_key,,TEXT,promising-causal-quasi,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,finding,,TEXT,"Advanced access can help, but expansion must track pass rates, credit quality, and whether support keeps up with access.",content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,inputs_changed,,TEXT,"Course access, eligibility rules, tuition support, instructor qualifications, credit transfer, exams",content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,local_key,,TEXT,initiative:dual-enrollment-ap-and-advanced-coursework-expansion,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,name,,TEXT,Dual enrollment / AP and advanced coursework expansion,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,normalization_issues,,TEXT,"Selection is large; researchers use eligibility cutoffs, school fixed effects, and prior achievement controls.",content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,outputs_measured,,TEXT,"Credits earned, exam scores, college enrollment, persistence, degree completion",content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,slug,,TEXT,dual-enrollment-ap-and-advanced-coursework-expansion,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,tags,,TEXT,dual enrollment; AP,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,target_population,,TEXT,High school juniors/seniors and advanced students,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,theory_of_action,,TEXT,Earlier access to college-level coursework raises expectations and reduces college credit/time barriers.,content/initiatives.json,
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,years_scale,,TEXT,1990s onward; rapidly expanding,content/initiatives.json,
initiative:early-college-high-schools,,category,,TEXT,Postsecondary/CTE,content/initiatives.json,
initiative:early-college-high-schools,,evaluation_designs,,TEXT,Randomized/lms lottery evaluation; long-term follow-up,content/initiatives.json,
initiative:early-college-high-schools,,evidence_strength_key,,TEXT,strong-causal,content/initiatives.json,
initiative:early-college-high-schools,,finding,,TEXT,"One of the strongest causal postsecondary-readiness models, with positive impacts on college enrollment and degree attainment.",content/initiatives.json,
initiative:early-college-high-schools,,inputs_changed,,TEXT,"Dual enrollment, small school design, college partnership, supports, accelerated credits",content/initiatives.json,
initiative:early-college-high-schools,,local_key,,TEXT,initiative:early-college-high-schools,content/initiatives.json,
initiative:early-college-high-schools,,name,,TEXT,Early College High Schools,content/initiatives.json,
initiative:early-college-high-schools,,normalization_issues,,TEXT,Lottery/randomized access estimates are strong; compare credit quality and transferability.,content/initiatives.json,
initiative:early-college-high-schools,,outputs_measured,,TEXT,"College enrollment, credits, degree attainment, high school graduation",content/initiatives.json,
initiative:early-college-high-schools,,slug,,TEXT,early-college-high-schools,content/initiatives.json,
initiative:early-college-high-schools,,tags,,TEXT,early college; dual enrollment,content/initiatives.json,
initiative:early-college-high-schools,,target_population,,TEXT,Students underrepresented in college,content/initiatives.json,
initiative:early-college-high-schools,,theory_of_action,,TEXT,Combine high school and college coursework so students earn credits and build college-going identity earlier.,content/initiatives.json,
initiative:early-college-high-schools,,years_scale,,TEXT,2002 onward; national network,content/initiatives.json,
initiative:essa-evidence-tiers-and-evidence-based-intervention-requirements,,category,,TEXT,Evidence infrastructure,content/initiatives.json,
initiative:essa-evidence-tiers-and-evidence-based-intervention-requirements,,evaluation_designs,,TEXT,Evidence standards framework,content/initiatives.json,
